"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.5901250251235e-164,9.11294291514189,0.342,0.003,5.27555779585224e-160,"6","Cd163"
8.92908161084661e-149,6.14350437536193,0.724,0.041,2.96240140603058e-144,"6","Mrc1"
3.24866324117274e-86,5.86821995053875,0.605,0.055,1.07780900352388e-81,"6","Cbr2"
7.61672965751477e-18,5.17550937333988,0.461,0.151,2.52700239847368e-13,"6","Ccl12"
1.48444935048284e-79,4.93758078550157,0.618,0.063,4.92495761009691e-75,"6","Igfbp4"
1.49078214010794e-40,4.70626746282025,0.487,0.074,4.9459679062361e-36,"6","Ccl7"
3.46899359898941e-51,4.11576229789541,0.974,0.439,1.15090800633672e-46,"6","Pf4"
1.98373790940677e-48,3.87737796793608,0.447,0.051,6.58144726203883e-44,"6","Clec4a1"
7.4171615919951e-29,3.78210427172162,0.487,0.11,2.46079170137622e-24,"6","Hpgd"
5.58633446987822e-40,3.77706745303316,0.776,0.241,1.8533781870715e-35,"6","Marcksl1"
7.79468210352918e-31,3.7244968591596,0.697,0.256,2.58604168148788e-26,"6","Fcgrt"
8.99164932007152e-20,3.67361996286717,0.342,0.074,2.98315949492013e-15,"6","Smagp"
3.31598483852286e-22,3.53610650296524,0.592,0.221,1.10014428987673e-17,"6","Folr2"
1.92872998307941e-11,3.47900034182062,0.382,0.15,6.39894746486256e-07,"6","P2rx7"
2.7728267225265e-17,3.45270564503085,0.316,0.07,9.19940721732616e-13,"6","St3gal6"
4.69551539272633e-21,3.43399206326602,0.737,0.376,1.55783114184482e-16,"6","Cxcl2"
3.76743568298947e-27,3.41480480081995,0.645,0.231,1.24992213654542e-22,"6","Txnip"
2.64616609151687e-11,3.38446612090819,0.553,0.303,8.77918524182551e-07,"6","Ccl2"
7.78641983977361e-19,3.21799705884667,0.526,0.189,2.58330051024169e-14,"6","Adrb2"
1.94445242236063e-12,3.15849492744474,0.316,0.094,6.45110980166585e-08,"6","Slco2b1"
1.65824964182196e-24,3.12937617162878,0.711,0.331,5.50157483667271e-20,"6","Pltp"
2.45536526603288e-15,3.12128094442661,0.329,0.083,8.1461653431173e-11,"6","Hspa1b"
3.92971499038807e-13,3.0747601432419,0.5,0.231,1.30376154236105e-08,"6","Sdc4"
5.34333369292509e-18,3.06068696420176,0.461,0.148,1.77275781930176e-13,"6","Cfh"
1.17065332574962e-10,3.01466727013691,0.368,0.142,3.8838765388395e-06,"6","Phlda1"
