"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.01323524138851e-265,8.04018261955553,0.667,0.024,3.36161056035465e-261,"5","Plac8"
1.72721403622705e-218,6.76605082358357,0.616,0.029,5.73037800799048e-214,"5","Ifitm6"
4.66593257990735e-208,6.5527221061007,0.638,0.036,1.54801645203586e-203,"5","Ly6c2"
1.0507919355715e-138,6.11813706418114,0.599,0.062,3.48621240464556e-134,"5","Hp"
3.13586731007393e-147,5.8951185696926,0.469,0.027,1.04038669746323e-142,"5","Mcemp1"
8.08598844152641e-11,5.42418802832185,0.61,0.506,2.68268838524522e-06,"5","S100a8"
1.49436961079773e-222,5.19621834387869,0.966,0.123,4.95787005774363e-218,"5","S100a4"
5.41421521576051e-205,5.07328652338166,0.684,0.045,1.79627418213287e-200,"5","Ccr2"
1.49975037005027e-85,4.88932828237061,0.328,0.025,4.97572180271579e-81,"5","Itgb7"
3.55969124136716e-58,4.88304378811973,0.61,0.19,1.18099876314838e-53,"5","Chil3"
5.54816793777981e-73,4.63582589741436,0.537,0.107,1.84071567671721e-68,"5","Gsr"
2.21096986579429e-52,4.5209315147613,0.463,0.107,7.3353347237457e-48,"5","Slpi"
2.81145881404364e-132,4.45517345172076,1,0.373,9.32757690735259e-128,"5","S100a6"
1.34473925985715e-61,4.28079758437739,0.446,0.083,4.46144144242806e-57,"5","Ms4a4c"
4.93600071589284e-55,4.17834182672921,0.35,0.052,1.63761695751177e-50,"5","Klra2"
8.82592230673044e-59,3.97699808022008,0.39,0.063,2.92817624370396e-54,"5","Naaa"
1.79811559995208e-76,3.90474522848291,0.554,0.103,5.96560812596102e-72,"5","Clec4e"
6.31424519478817e-139,3.86653511450467,0.864,0.165,2.09487712827487e-134,"5","Ccl9"
2.81656022975659e-50,3.70845376478527,0.446,0.1,9.34450187426343e-46,"5","Plbd1"
1.46772535070589e-95,3.6371427527011,0.977,0.614,4.86947239603692e-91,"5","S100a11"
7.78628718538419e-88,3.59258649211809,0.977,0.723,2.58325649949491e-83,"5","Ifitm3"
2.52238768554153e-83,3.5093989148989,0.757,0.234,8.36852562432114e-79,"5","Emb"
5.01799620846835e-82,3.49023889286234,0.864,0.383,1.66482060208354e-77,"5","S100a10"
7.41346409421288e-50,3.45231432556667,0.514,0.14,2.45956498253701e-45,"5","Cytip"
1.52409022988998e-35,3.42523835467328,0.424,0.123,5.05647415570597e-31,"5","Gm9844"
1.86204433531661e-38,3.40196633046839,0.424,0.116,6.1777044912799e-34,"5","F10"
5.80571226741837e-92,3.34305646539625,0.989,0.668,1.92616115896139e-87,"5","Ifitm2"
1.12909589799667e-75,3.23597266180858,0.78,0.265,3.74600146078354e-71,"5","Fn1"
4.28194217221882e-58,3.11854684297557,0.746,0.311,1.42061995447704e-53,"5","Cdk2ap2"
3.0499878147366e-64,3.10295294590246,0.819,0.348,1.01189445729516e-59,"5","Ccl6"
2.45552892778436e-24,2.94040576738507,0.311,0.089,8.14670832371017e-20,"5","Pilra"
1.76384987835863e-57,2.93965036337522,0.718,0.279,5.85192474143043e-53,"5","Napsa"
4.15881484081291e-26,2.92512473743441,0.412,0.152,1.3797699997365e-21,"5","Gda"
7.96095589732967e-19,2.85814048824447,0.305,0.107,2.64120633805706e-14,"5","Pira2"
2.99846825181191e-37,2.85637109842516,0.531,0.182,9.94801811903638e-33,"5","Clec4a2"
4.33683093399883e-86,2.8534090833936,1,0.877,1.43883039897279e-81,"5","Crip1"
1.00350558275605e-23,2.78392883648485,0.401,0.152,3.32933047190976e-19,"5","Clec4a3"
7.88895616624363e-21,2.75350375364293,0.401,0.165,2.61731898727465e-16,"5","Ccnd3"
7.87774293353298e-83,2.66438437294835,0.994,0.93,2.61359877305824e-78,"5","Tmsb10"
2.72761098046913e-16,2.66130852453853,0.446,0.225,9.04939494990244e-12,"5","Cd74"
4.78893125191043e-12,2.62610844092807,0.367,0.195,1.58882372144632e-07,"5","Cks2"
7.30243432939457e-28,2.58155397728148,0.599,0.317,2.42272863746324e-23,"5","Sirpb1c"
5.92828256086828e-18,2.57727114759695,0.412,0.193,1.96682630521927e-13,"5","Emilin2"
5.77270675308622e-17,2.52271775390467,0.305,0.112,1.91521091947142e-12,"5","AI662270"
6.30383580955451e-28,2.4587460559968,0.712,0.483,2.0914236065359e-23,"5","Hmgb2"
3.10587998134147e-19,2.45599525829856,0.503,0.273,1.03043780140966e-14,"5","Samhd1"
1.74095400221629e-31,2.44310922325818,0.407,0.117,5.775963093153e-27,"5","Ccr1"
2.03431882019635e-75,2.40443254944623,0.955,0.681,6.74925954976543e-71,"5","Coro1a"
4.70180913683565e-19,2.40231394299843,0.424,0.201,1.55991921732796e-14,"5","Mcub"
1.5982431135935e-29,2.4002372536832,0.672,0.356,5.30249117796917e-25,"5","Ifi27l2a"
1.96200665877005e-41,2.3883525468682,0.751,0.443,6.50934949180138e-37,"5","Anxa1"
5.86491845367679e-13,2.32638232763881,0.333,0.161,1.94580399537635e-08,"5","Unc119"
7.84585823493935e-59,2.32302780760903,0.87,0.622,2.60302038660583e-54,"5","Lsp1"
7.28002069048058e-41,2.29777415324005,0.751,0.448,2.41529246448074e-36,"5","Gmfg"
3.67229013958624e-28,2.29384266849717,0.712,0.483,1.21835569961053e-23,"5","Tgfbi"
3.54590069878488e-16,2.27772147962019,0.373,0.167,1.17642347483586e-11,"5","Cnn2"
5.41715678375836e-12,2.24027563842577,0.305,0.141,1.79725010614751e-07,"5","Pmaip1"
3.45057674237626e-08,2.22948263507972,0.52,0.445,0.00114479784581817,"5","Thbs1"
5.13485224349657e-29,2.21326358771568,0.734,0.5,1.70358992882486e-24,"5","Cebpb"
9.00463029618608e-31,2.15945239940411,0.525,0.208,2.98746619336566e-26,"5","Ifi30"
2.62244880035821e-49,2.03653645462614,0.887,0.731,8.70049838494843e-45,"5","Mrpl33"
4.84497999991514e-85,1.98567576911677,0.989,0.878,1.60741901457184e-80,"5","Alox5ap"
1.00408479832106e-07,1.95772145214273,0.35,0.224,0.00333125213538979,"5","Flna"
4.40464346703657e-28,1.9238307706789,0.689,0.445,1.46132856305872e-23,"5","Ncf4"
1.76151782528586e-68,1.87721524740479,0.96,0.881,5.84418768895088e-64,"5","Fxyd5"
1.27471837111293e-45,1.8211401825977,0.859,0.689,4.22913313984137e-41,"5","Anxa2"
4.54925606902814e-56,1.8138239818512,0.932,0.744,1.50930668602147e-51,"5","Taldo1"
3.9773541311151e-07,1.81367821241182,0.356,0.24,0.0131956678008006,"5","Notch2"
1.33606584922198e-24,1.81047727540918,0.864,0.825,4.43266566796375e-20,"5","Btg1"
1.20445996719722e-17,1.80886394490247,0.61,0.438,3.9960368331702e-13,"5","Higd1a"
5.77053375614796e-20,1.78766520121276,0.695,0.537,1.91448998427721e-15,"5","Plaur"
8.3665206969137e-16,1.75158400905118,0.508,0.301,2.77576057161506e-11,"5","Cfp"
2.03956540725897e-61,1.74570190247149,0.949,0.837,6.76666615166308e-57,"5","Arhgdib"
4.61822589103889e-14,1.71840162761221,0.542,0.361,1.53218880386997e-09,"5","Tm6sf1"
4.35845514899381e-09,1.71581893050738,0.424,0.291,0.000144600466478168,"5","Plp2"
3.8286541453351e-13,1.71091625544125,0.548,0.402,1.27023258579782e-08,"5","Lsm5"
1.56320702874386e-21,1.68351212097023,0.712,0.529,5.18625195926349e-17,"5","Fam49b"
7.32876288222403e-53,1.68033513839094,0.944,0.823,2.43146366143547e-48,"5","Ly6e"
2.41477084890808e-18,1.67169843898083,0.734,0.632,8.01148524542233e-14,"5","Lst1"
1.90144209073798e-16,1.66914528711028,0.667,0.487,6.30841442444139e-12,"5","Slfn2"
4.90743700993014e-78,1.6674939817207,1,0.961,1.62814037678452e-73,"5","H3f3a"
1.37618762958831e-56,1.6489765810865,0.96,0.948,4.56577769868512e-52,"5","H2az1"
1.11600820124343e-08,1.62942974956617,0.492,0.38,0.000370258040926533,"5","Ms4a6b"
3.36911935644611e-07,1.621928835538,0.407,0.293,0.0111777272888813,"5","Rassf4"
3.96935164180738e-08,1.61508031886438,0.486,0.387,0.00131691179420243,"5","Samsn1"
5.33147621584279e-09,1.59001042149014,0.401,0.246,0.000176882386413016,"5","Chic2"
2.46318802235506e-41,1.57842502465026,0.893,0.782,8.17211890176739e-37,"5","Psma7"
3.94765786310935e-79,1.57212140429543,0.994,0.968,1.30971444924379e-74,"5","Cd52"
9.00719232856214e-48,1.56821009438488,0.938,0.858,2.98831619884706e-43,"5","Sub1"
1.25587832925791e-09,1.56422261133761,0.492,0.363,4.16662753297895e-05,"5","Macroh2a1"
3.66466223556835e-08,1.54428017083425,0.362,0.215,0.00121582498989451,"5","Rpl13-ps3"
4.21688556755043e-27,1.5406474388884,0.763,0.645,1.39903612474621e-22,"5","Eno1"
