"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.27968278203686e-72,1.95374108002197,0.436,0.129,1.08810035659637e-67,"1","C77080"
6.38296234770094e-59,1.88871910354517,0.381,0.119,2.11767541809674e-54,"1","Lyst"
1.54086363676415e-49,1.8791205145336,0.32,0.094,5.11212328769242e-45,"1","Plpp3"
1.02877362580447e-35,1.63262692311343,0.329,0.127,3.41316225833148e-31,"1","Npy"
3.33383547152911e-101,1.6243008618838,0.752,0.346,1.10606659438921e-96,"1","Ahnak2"
2.66702852513817e-34,1.59199972557204,0.328,0.13,8.84840053785089e-30,"1","Klhdc4"
2.6075053003123e-53,1.58678828310289,0.446,0.172,8.65092033484613e-49,"1","Tst"
2.22299287816308e-77,1.55780747510113,0.62,0.243,7.37522347188166e-73,"1","Cdo1"
1.17652413399438e-53,1.54059766104011,0.457,0.172,3.90335411935316e-49,"1","Ddhd1"
2.69606648812976e-14,1.51300858855202,0.316,0.193,8.94473978766812e-10,"1","Mfge8"
1.10538357814509e-40,1.4897662501298,0.381,0.156,3.66733109721197e-36,"1","2900097C17Rik"
2.27152790350758e-33,1.4550793008999,0.31,0.117,7.53624812546708e-29,"1","Mcoln3"
7.9307764146358e-80,1.43956973601349,0.745,0.374,2.63119369108372e-75,"1","Cd24a"
1.53683228938902e-37,1.4279444108513,0.394,0.173,5.09874848650594e-33,"1","Rpl36a-ps1"
2.86871418614314e-47,1.41705438361783,0.51,0.229,9.51753305536709e-43,"1","Fbxo32"
2.83436707493913e-33,1.36993296662084,0.336,0.136,9.40357964452557e-29,"1","Epas1"
6.12502538433033e-58,1.336626397804,0.583,0.26,2.03209967175927e-53,"1","Fabp4"
2.41232327664241e-28,1.32835929782654,0.316,0.136,8.00336493491654e-24,"1","Il7r"
1.09163050376654e-47,1.31861405555591,0.477,0.196,3.62170252234624e-43,"1","Atp6v0d2"
4.09800370387268e-34,1.31629568985895,0.359,0.151,1.35959468883384e-29,"1","Lnpep"
6.7940297785871e-64,1.24640643448204,0.678,0.333,2.25405525964184e-59,"1","Hpse"
3.44153083524795e-38,1.20436102301832,0.443,0.201,1.14179668521021e-33,"1","Anpep"
1.03548928926702e-33,1.19983418545905,0.417,0.193,3.43544281500118e-29,"1","Slc6a8"
8.54709271689731e-50,1.19724202864521,0.813,0.559,2.83566895068502e-45,"1","S100a1"
2.2574236459107e-58,1.1922734213097,0.739,0.439,7.48945443003793e-54,"1","Psmd1"
1.34343439686894e-24,1.18933308912949,0.351,0.177,4.45711229849208e-20,"1","Chmp1b"
2.27048331584021e-132,1.17185088901725,0.999,0.858,7.53278249696308e-128,"1","Gpnmb"
8.91427893097353e-30,1.17009866784728,0.375,0.176,2.95749032092909e-25,"1","Sbno2"
6.63547373110336e-25,1.12355663241747,0.355,0.175,2.20145111976816e-20,"1","Myo1e"
3.19671960606491e-37,1.11474823298625,0.519,0.27,1.06057566370416e-32,"1","Tecpr1"
7.10729295216566e-39,1.09709606118698,0.536,0.275,2.35798658274e-34,"1","Osbpl8"
2.22063519021483e-57,1.0784358729243,0.714,0.388,7.36740137057575e-53,"1","Cd300lf"
2.15497481851819e-26,1.06186215203085,0.384,0.19,7.14955995539779e-22,"1","Ago2"
3.10924702908445e-23,1.05587048968567,0.341,0.169,1.03155488683935e-18,"1","Rai14"
1.05536865247688e-39,1.05351685560669,0.533,0.269,3.50139657832253e-35,"1","Ipo5"
2.96245028614101e-24,1.04342646336731,0.357,0.176,9.82852131433002e-20,"1","Trim35"
6.33471008663337e-23,0.989563705526454,0.371,0.191,2.10166676544235e-18,"1","Dmxl2"
1.69230286519712e-25,0.98712901703643,0.47,0.263,5.61455321586449e-21,"1","Myof"
3.62869326791347e-19,0.976970323714152,0.519,0.314,1.20389156549565e-14,"1","Mbp"
4.42577329373026e-100,0.97511973565937,0.997,0.86,1.46833880566089e-95,"1","Fabp5"
8.48523068029231e-30,0.954845001926677,0.448,0.216,2.81514498280058e-25,"1","Htr2b"
5.35426354827852e-21,0.952009295223604,0.375,0.204,1.77638401741237e-16,"1","Arhgap24"
1.49165297218782e-61,0.951529696253669,0.861,0.605,4.94885706582755e-57,"1","Gns"
1.21782008715114e-23,0.941059243332429,0.409,0.217,4.04036170314132e-19,"1","Abr"
1.03941204240296e-33,0.936727799626392,0.494,0.248,3.4484573330803e-29,"1","Wsb2"
5.73072031730905e-30,0.935969102858711,0.541,0.303,1.90128107967363e-25,"1","Fblim1"
8.24256442560193e-27,0.922080415927495,0.475,0.258,2.73463559948195e-22,"1","Fnip2"
4.66814437439661e-25,0.91549996569914,0.522,0.318,1.54875025909356e-20,"1","Mtss1"
3.6407792286171e-28,0.909994918823838,0.455,0.241,1.2079013246783e-23,"1","Ddx50"
6.53842385911729e-34,0.904932275638721,0.583,0.331,2.16925288373934e-29,"1","Chchd10"
2.87040339884236e-16,0.902319954030076,0.314,0.17,9.52313735633929e-12,"1","Sh3pxd2b"
3.51962106845393e-19,0.894587308024906,0.307,0.155,1.16770468188096e-14,"1","Stx3"
1.30048190118102e-38,0.858025894051205,0.799,0.588,4.31460880354827e-34,"1","Gpr137b"
5.77024352292334e-21,0.855916150872358,0.375,0.199,1.91439369360028e-16,"1","Iqsec1"
2.24047693251043e-18,0.854069764098085,0.364,0.203,7.43323031898987e-14,"1","Tmem104"
7.57884372822275e-146,0.842686373362976,1,1,2.51443298371246e-141,"1","Fth1"
4.37482634599156e-24,0.842218691118854,0.461,0.257,1.45143613680962e-19,"1","Dctn4"
8.47862824173561e-19,0.842102291442324,0.339,0.176,2.81295449176062e-14,"1","Clcn7"
6.42248576149456e-40,0.8397183331291,0.596,0.303,2.13078810109105e-35,"1","Lilr4b"
2.42433192503092e-30,0.83702721025223,0.601,0.362,8.04320602767507e-26,"1","Mpst"
3.74425932555593e-17,0.830597764178828,0.325,0.178,1.24223291643969e-12,"1","Ncoa4"
1.51929809039723e-23,0.82574930095575,0.638,0.436,5.0405752745109e-19,"1","H2bc4"
3.1589971797428e-26,0.821575649854634,0.622,0.393,1.04806049432327e-21,"1","Gdf15"
6.33670408332647e-17,0.819144400751601,0.4,0.239,2.10232831372522e-12,"1","Ttyh2"
4.13925723071359e-23,0.81387121741947,0.452,0.254,1.37328137143385e-18,"1","Cenpb"
2.30422940622161e-150,0.808344740508942,1,1,7.64474190102143e-146,"1","Ftl1"
1.1835767973387e-47,0.807487570398281,0.971,0.852,3.92675274053059e-43,"1","Txn1"
1.15923142842246e-20,0.802241065525092,0.378,0.202,3.84598211007721e-16,"1","Lrp12"
1.97394535391077e-20,0.801085315862459,0.414,0.234,6.54895850066977e-16,"1","Adcy7"
1.06410368529592e-16,0.80055489457783,0.323,0.175,3.53037679670629e-12,"1","Rin3"
1.44752341449738e-18,0.800076827155115,0.342,0.182,4.80244843227797e-14,"1","Pstpip1"
8.19973992509966e-46,0.790483764071684,0.841,0.565,2.72042771495032e-41,"1","Gm1673"
7.48160797604671e-26,0.786735291287549,0.587,0.365,2.48217307821302e-21,"1","Lhfpl2"
5.76814595072617e-19,0.771607620800495,0.377,0.209,1.91369778207242e-14,"1","Mfsd12"
3.1101825618231e-25,0.769475047714562,0.57,0.345,1.03186526853605e-20,"1","Il3ra"
5.34046356852225e-19,0.766789600609238,0.47,0.289,1.77180559812863e-14,"1","Dnmt3a"
1.84085724140463e-28,0.763990001479892,0.625,0.394,6.10741206980815e-24,"1","Fam20c"
3.07298282463069e-35,0.761635816754459,0.828,0.592,1.01952351172772e-30,"1","Rilpl2"
5.33161305634666e-16,0.761456716955363,0.375,0.22,1.76886926370413e-11,"1","Gtpbp2"
6.18921569774642e-17,0.76049957583037,0.43,0.256,2.05339609204133e-12,"1","H1f2"
7.9892818482751e-47,0.756803019546137,0.916,0.707,2.65060403880223e-42,"1","Gyg"
3.73524251947759e-23,0.744269374615082,0.49,0.276,1.23924141068708e-18,"1","Aopep"
4.92746376639766e-41,0.740612162808971,0.87,0.635,1.63478465377775e-36,"1","Gde1"
3.97111769806979e-22,0.736088002001723,0.451,0.251,1.31749771868861e-17,"1","Fam129b"
1.54198001890374e-51,0.732320230406989,0.923,0.692,5.11582710871692e-47,"1","1810058I24Rik"
5.61179954077101e-20,0.732187429825218,0.375,0.202,1.8618267336416e-15,"1","Gadd45a"
2.02841952961931e-15,0.727229069035573,0.39,0.236,6.729687473418e-11,"1","Myo9b"
2.01188082747157e-17,0.726891821454746,0.384,0.221,6.67481702130244e-13,"1","Klhl24"
4.92871307760595e-125,0.722911972535176,0.993,0.983,1.63519913775733e-120,"1","Rpl15"
6.58838557665614e-26,0.721231814345609,0.629,0.408,2.18582868276721e-21,"1","Eif4b"
2.50853245739856e-17,0.7195981758631,0.497,0.331,8.32255813391119e-13,"1","Csf2rb"
4.03846651847525e-16,0.717518588087661,0.31,0.165,1.33984203683453e-11,"1","Rell1"
1.3021113247697e-15,0.7156441896537,0.355,0.204,4.32001474218843e-11,"1","Npepps"
2.27560423651404e-35,0.709843041095725,0.765,0.486,7.54977217548263e-31,"1","Ctnnb1"
1.82864463687268e-23,0.702982309236735,0.562,0.345,6.06689431175249e-19,"1","Adam8"
1.04784435335895e-30,0.701827184301024,0.757,0.507,3.47643321113898e-26,"1","Arl11"
4.92411533041001e-16,0.701035515136218,0.404,0.246,1.63367374317013e-11,"1","Ubald1"
2.41341867649953e-12,0.694931392421052,0.368,0.234,8.00699914302248e-08,"1","Sdc3"
1.15674414963055e-39,0.693516921473704,0.678,0.391,3.83773006522928e-35,"1","Ahnak"
5.24146760439085e-15,0.69260413350524,0.381,0.227,1.73896170710875e-10,"1","Ttc3"
1.28326993758968e-18,0.692345966357037,0.613,0.42,4.25750467194128e-14,"1","Bhlhe41"
5.33364836205577e-27,0.690168172992766,0.601,0.344,1.76954451707924e-22,"1","Vps28"
3.94134414596394e-13,0.689908295607123,0.368,0.23,1.30761974730646e-08,"1","Rasgef1b"
9.0339303714941e-19,0.689817896821643,0.449,0.264,2.9971870793506e-14,"1","Samd8"
6.4629132796821e-25,0.689806777299764,0.632,0.386,2.14420073880013e-20,"1","Slc27a1"
3.5781144562508e-63,0.683978440586927,0.971,0.857,1.18711103315033e-58,"1","Gngt2"
1.41994635276762e-12,0.681414068369658,0.323,0.193,4.71095601457715e-08,"1","Zbtb20"
2.21410170298937e-12,0.676980997335179,0.309,0.182,7.34572522000782e-08,"1","Scly"
9.68112727571603e-20,0.674957932292679,0.391,0.21,3.21190759626431e-15,"1","Tmem51"
9.36861849926565e-42,0.674467458760117,0.904,0.67,3.10822655950137e-37,"1","Iqgap1"
