"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.69831551453746e-93,2.46501622832813,0.314,0.041,1.8905301382581e-88,"0","ENSMUSG00000029333"
5.47510153381923e-175,2.46366578412433,0.593,0.09,1.81647443587521e-170,"0","Zfas1"
2.67264993944281e-243,2.45708134310055,0.805,0.136,8.86705070408942e-239,"0","Rpl6l"
2.27374375667521e-78,2.37134231392499,0.334,0.067,7.54359966152135e-74,"0","Ctla2b"
8.5810262045977e-163,2.30354367715748,0.617,0.113,2.84692706389938e-158,"0","Rps26-ps1"
2.66666056683577e-163,2.28253601237755,0.573,0.091,8.84717976259102e-159,"0","Rpl13-ps3"
2.29563118416513e-282,2.25476111723926,0.952,0.184,7.61621557970466e-278,"0","Gm9843"
2.3993616987854e-283,2.22767503615029,0.953,0.182,7.96036230806034e-279,"0","Rpl23a-ps3"
1.3643743558948e-128,2.21935660692771,0.501,0.088,4.52658480055218e-124,"0","Rpl36-ps3"
4.62127309488815e-100,2.20603840873376,0.411,0.076,1.53319977469104e-95,"0","Septin2"
1.79003049356457e-117,2.17162415707804,0.475,0.088,5.93878416849918e-113,"0","Tonsl"
1.82856360825683e-236,2.12766433689556,0.928,0.327,6.0666254831137e-232,"0","Rps12-ps3"
2.31040356338648e-111,2.10619422411178,0.449,0.08,7.66522590224733e-107,"0","Rps18-ps3"
3.38124805432587e-124,2.08707906542165,0.482,0.082,1.12179666698369e-119,"0","Gm10263"
3.51504062494953e-214,2.06104965064465,0.783,0.141,1.16618502813951e-209,"0","Gm8730"
1.81008128766911e-166,2.04187120933544,0.642,0.115,6.00530668809981e-162,"0","Atp5o"
4.08792350223839e-91,1.98525985574774,0.382,0.069,1.35625038033763e-86,"0","ENSMUSG00000089672"
3.04558002365395e-142,1.94558930135286,0.785,0.333,1.01043208444767e-137,"0","Klf2"
5.53989645538398e-148,1.86206047441098,0.792,0.38,1.83797144700274e-143,"0","Gm10073"
1.36905421689765e-199,1.82889615826771,0.933,0.515,4.54211117540133e-195,"0","Bri3"
3.71068608467127e-58,1.78282451595016,0.432,0.173,1.23109432231139e-53,"0","ENSMUSG00000097971"
7.14001180999265e-131,1.69082585161532,0.626,0.151,2.36884171820126e-126,"0","Gm49339"
5.28024513445022e-184,1.66985504992113,0.925,0.612,1.75182692825655e-179,"0","Gm10076"
1.46918492223509e-174,1.6620222237401,0.863,0.349,4.87431481649934e-170,"0","Jund"
2.604048380094e-80,1.62010002762423,0.605,0.302,8.63945131063785e-76,"0","Metrnl"
3.95590454848067e-56,1.61885295186426,0.417,0.16,1.31245045204943e-51,"0","Taf10"
1.10997532051953e-51,1.56207284065401,0.466,0.225,3.68256512088766e-47,"0","Gm10036"
2.07516839959513e-248,1.54477779483573,1,0.985,6.88478619933677e-244,"0","Rpl13a"
2.83150402481564e-161,1.46621205102205,0.933,0.711,9.39408090313085e-157,"0","Eif3f"
3.63517599302667e-40,1.44112618482952,0.417,0.206,1.20604233920646e-35,"0","Gm6133"
2.60148787190667e-155,1.41435972442994,0.933,0.714,8.63095631262476e-151,"0","Timp2"
1.51012565811251e-61,1.38898492014856,0.582,0.327,5.01014389591989e-57,"0","Tmem160"
2.2528005772104e-52,1.38618035411637,0.536,0.3,7.47411647501095e-48,"0","Bag1"
3.33996267768455e-40,1.38522779477764,0.454,0.243,1.1080994175754e-35,"0","Arf6"
3.3637860816558e-166,1.38369515397818,0.949,0.791,1.11600330831095e-161,"0","Ybx1"
6.94068728945173e-51,1.38042148666187,0.439,0.186,2.3027118220214e-46,"0","Chic2"
1.41263088867374e-33,1.35848725514257,0.411,0.23,4.68668549935286e-29,"0","Srsf9"
9.11425420830269e-24,1.35477454782386,0.322,0.174,3.02383611868858e-19,"0","Rnf187"
3.08180147152549e-63,1.34738750219404,0.628,0.368,1.02244927420801e-58,"0","Pnrc1"
7.20645607718075e-52,1.34477576202704,0.523,0.28,2.39088593272626e-47,"0","Rab5if"
5.76133902550311e-64,1.34391925378697,0.61,0.347,1.91143944849117e-59,"0","Rpl9-ps6"
4.64442102637535e-13,1.34095928487762,0.302,0.209,1.54087956392055e-08,"0","Plk3"
5.15143296060628e-30,1.32695891361176,0.358,0.183,1.70909091334034e-25,"0","Lyz1"
4.95504106404105e-103,1.32588286966159,0.818,0.583,1.6439339738169e-98,"0","Gm9493"
2.11366443953957e-216,1.30670455345056,0.989,0.946,7.01250451106042e-212,"0","Lamp1"
3.69655284080938e-25,1.30131878652157,0.355,0.2,1.22640533599533e-20,"0","Dcun1d5"
1.75022959611912e-27,1.28117555955858,0.329,0.164,5.8067367310444e-23,"0","Map1lc3a"
2.55000377622697e-54,1.25991049128539,0.57,0.327,8.46014752838823e-50,"0","Erh"
3.24273350868354e-22,1.23532690605556,0.358,0.217,1.07584169617594e-17,"0","Mtch1"
6.76964592061203e-36,1.23286347490453,0.464,0.268,2.24596542708145e-31,"0","Scand1"
4.73460357850444e-136,1.23023142151677,0.93,0.794,1.57079942924042e-131,"0","Gnas"
3.40922041564375e-16,1.22522287556216,0.353,0.234,1.13107705729813e-11,"0","Cited2"
1.46145265844054e-88,1.19368780071091,0.499,0.124,4.84866148490819e-84,"0","Ifi30"
4.62202276565083e-160,1.18818999834168,0.99,0.928,1.53344849295998e-155,"0","Rps27rt"
5.59289561205998e-30,1.17471608967371,0.549,0.42,1.85555497721314e-25,"0","Arl4c"
1.00036371311285e-148,1.1533470237433,0.868,0.379,3.31890669099451e-144,"0","Cebpb"
1.61740420478065e-111,1.1493825649071,0.905,0.741,5.36606193020077e-107,"0","Wdr89"
5.97453545303788e-16,1.09713698041639,0.34,0.229,1.98217162725438e-11,"0","Smap1"
2.07223447970645e-38,1.09641142923433,0.592,0.426,6.8750523333221e-34,"0","Rnf130"
1.97440522201537e-24,1.09530465517681,0.374,0.218,6.55048420508039e-20,"0","Gm8186"
