"","x"
"1","Lgals1"
"2","Lgals3"
"3","Spp1"
"4","Fabp4"
"5","Sparc"
"6","Cd81"
"7","Gpr34"
"8","Serpine2"
"9","Gpnmb"
"10","Hpse"
"11","Ahnak2"
"12","Cdo1"
"13","Ccr2"
"14","Plac8"
"15","Ifitm6"
"16","Mrc1"
"17","Cd163"
