Cluster,Cell_Count,Proportion
0,811,0.2766030013642565
1,690,0.23533424283765347
2,477,0.16268758526603003
3,448,0.15279672578444747
4,253,0.08628922237380628
5,177,0.060368349249658934
6,76,0.02592087312414734
