"","Cluster","Cell_Count","Proportion"
"1","0",892,0.326739926739927
"2","1",610,0.223443223443223
"3","2",497,0.182051282051282
"4","3",327,0.11978021978022
"5","4",236,0.0864468864468864
"6","5",72,0.0263736263736264
"7","6",60,0.021978021978022
"8","7",36,0.0131868131868132
