"","x"
"1","Cd36"
"2","Lpl"
"3","Mfge8"
"4","Spp1"
"5","Sparc"
"6","Gpr84"
"7","Cdo1"
"8","Plpp3"
"9","Ifitm6"
"10","Plac8"
"11","Mcemp1"
"12","Apoc1"
"13","Cd163"
"14","Mrc1"
"15","Clec4a1"
