Cluster,Cell_Count,Proportion
0,1866,0.24507486209613868
1,1526,0.20042027843446283
2,1308,0.17178881008668243
3,783,0.10283687943262411
4,739,0.09705805095876018
5,500,0.06566850538481744
6,366,0.04806934594168637
7,311,0.04084581034935645
8,123,0.01615445232466509
9,92,0.012083004990806409
