"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"75",1.36103052677868e-109,3.82439895505878,0.786,0.127,2.43052831472136e-105,"8","H2-Eb1"
"76",1.00527311618718e-102,3.68298430209478,0.795,0.14,1.79521673088707e-98,"8","H2-Aa"
"77",1.3297505677294e-89,5.13215525900405,0.761,0.164,2.37466856385116e-85,"8","Mrc1"
"78",3.43570763415299e-81,3.53337617265437,0.812,0.193,6.1354866930704e-77,"8","H2-Ab1"
"79",4.79450127170667e-81,3.68767762095614,0.872,0.24,8.56202037101377e-77,"8","Cd74"
"80",7.15015354957163e-47,2.45536738257259,0.932,0.651,1.2768744208825e-42,"8","Ifitm3"
"81",6.38414670868383e-46,4.52535023811301,0.316,0.044,1.14008091923676e-41,"8","C4b"
"82",9.59856905598433e-45,4.48625673635262,0.35,0.056,1.71411246201768e-40,"8","Lifr"
"83",0,11.519698150557,0.882,0.001,0,"9","Iglc3"
"84",0,11.1190809130934,0.824,0.001,0,"9","Ly6d"
"85",0,13.0751038320796,0.765,0,0,"9","Gm21762"
"86",0,10.3250904794103,0.765,0.003,0,"9","Ccr9"
"87",0,11.4302067269199,0.706,0.001,0,"9","Cd8b1"
"88",0,11.0778051202995,0.706,0.001,0,"9","Mctp2"
"89",0,10.0129776484037,0.706,0.002,0,"9","Atp1b1"
"90",0,8.80090665620568,0.647,0.003,0,"9","Smim5"
"91",0,7.63215435638789,0.647,0.003,0,"9","Cd7"
"92",0,10.0953438748342,0.529,0.001,0,"9","Atp2a1"
