"","x"
"1","Gpnmb"
"2","Hpse"
"3","Lgals1"
"4","Lgals3"
"5","Spp1"
"6","Cd36"
"7","Ccr2"
"8","Plac8"
"9","Sparc"
"10","Serpine2"
"11","Gpr34"
"12","Cd81"
"13","Mfge8"
"14","Cdo1"
"15","Lpl"
