"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.20113663625433,0.656,0.223,0,"0","Siglech"
0,3.10280023600873,0.368,0.125,0,"0","Sall1"
0,3.09761602145095,0.363,0.123,0,"0","Nav3"
0,3.09678588470872,0.548,0.218,0,"0","Lag3"
0,2.87021430462215,0.718,0.358,0,"0","P2ry12"
0,2.83527006215828,0.983,0.523,0,"0","Sparc"
0,2.73005054033824,0.436,0.191,0,"0","Gpr84"
0,2.70930889222932,0.867,0.429,0,"0","Gpr34"
2.59717379494984e-295,2.59719408782092,0.345,0.157,4.63803296302143e-291,"0","Slc12a2"
0,2.58739806679097,0.469,0.189,0,"0","Cd34"
0,2.56772515194496,0.46,0.229,0,"0","E230029C05Rik"
0,2.54429760545402,0.407,0.208,0,"0","Tanc2"
0,2.50042331845857,0.385,0.181,0,"0","Ctsf"
0,2.49045890406036,0.539,0.294,0,"0","Socs3"
0,2.47549271362172,0.452,0.27,0,"0","Ccl12"
0,2.46045238263189,0.751,0.355,0,"0","Plxdc2"
2.11472273424356e-294,2.41928718138477,0.357,0.167,3.77647185881214e-290,"0","Ecscr"
4.83603890788846e-246,2.40959004147417,0.305,0.133,8.63619828170721e-242,"0","St3gal6"
0,2.40747938556053,0.668,0.381,0,"0","Arhgap5"
0,2.39968345170073,0.638,0.553,0,"0","Ccl4"
0,2.38854821677558,0.858,0.583,0,"0","Egr1"
0,2.38697964129481,0.99,0.655,0,"0","Cd81"
0,2.36303972607117,0.549,0.28,0,"0","Slco2b1"
0,2.34685154565768,0.561,0.325,0,"0","Frmd4a"
1.32101964375419e-213,2.34427858534348,0.3,0.145,2.35907687981622e-209,"0","Abca9"
4.96603903463778e-237,2.32759297136155,0.351,0.193,8.86835250805615e-233,"0","P2ry13"
0,2.2845324566309,0.44,0.257,0,"0","Pde3b"
0,2.25734836590216,0.863,0.624,0,"0","Kctd12"
0,2.24375134764502,0.856,0.627,0,"0","Rhob"
0,2.24263585467715,1,0.998,0,"0","Cst3"
0,2.20486017188199,0.65,0.571,0,"0","Ccl3"
0,2.18174959379593,0.692,0.326,0,"0","Serpine2"
9.07851859840392e-206,2.16787365041604,0.402,0.274,1.62124185130297e-201,"0","Icam1"
0,2.15178087572049,0.506,0.287,0,"0","Cst7"
0,2.13526777490998,0.716,0.419,0,"0","Cfh"
0,2.13316954356907,0.86,0.651,0,"0","Selplg"
0,2.1250383069539,0.703,0.44,0,"0","Tmem119"
0,2.11054230426252,0.531,0.308,0,"0","Dst"
0,2.10755772843342,0.562,0.375,0,"0","Srgap2"
0,2.09459223634872,0.784,0.628,0,"0","Nfkbia"
2.48486597234359e-251,2.08973717780314,0.424,0.273,4.43747365341119e-247,"0","Ccr5"
0,2.0770952609684,0.476,0.283,0,"0","Dennd4a"
