"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,14.1686728954739,0.547,0,0,"2","Ly6g"
0,13.2254108301975,0.788,0.009,0,"2","Ngp"
0,13.0920945273936,0.906,0.002,0,"2","Wfdc21"
0,12.9982880682934,0.694,0.012,0,"2","Camp"
0,12.5322219480207,0.4,0,0,"2","Itgb2l"
0,12.4576923252541,1,0.07,0,"2","S100a9"
0,12.4326770589981,0.753,0.006,0,"2","Retnlg"
0,12.3588966035133,0.324,0,0,"2","Mrgpra2b"
0,12.3030987008993,0.653,0.005,0,"2","Ltf"
0,12.2874002601548,0.894,0.007,0,"2","Lcn2"
5.22035184511611e-302,11.6806151328392,1,0.136,9.32250432500835e-298,"2","S100a8"
0,10.2260852387729,0.629,0.003,0,"2","Mmp9"
0,10.077812213135,0.718,0.004,0,"2","Cd177"
0,9.80726520168194,0.412,0.002,0,"2","Cebpe"
0,9.3597645835065,0.518,0.003,0,"2","Fpr2"
0,9.05328960680549,0.465,0.002,0,"2","Chil1"
0,9.00569235373264,0.912,0.009,0,"2","Pglyrp1"
0,8.91285547322115,0.506,0.002,0,"2","Hdc"
0,8.83169660208997,0.447,0.003,0,"2","Cxcr2"
0,8.69011539088722,0.3,0.001,0,"2","Crispld2"
0,8.62459582018479,0.488,0.003,0,"2","Lrg1"
0,8.54929718008739,0.494,0.004,0,"2","Trem3"
0,8.53199438734605,0.771,0.014,0,"2","Ifitm6"
0,8.32479466713648,0.476,0.008,0,"2","Serpinb1a"
0,8.0500703611491,0.888,0.016,0,"2","Hp"
0,7.8525913119217,0.435,0.003,0,"2","Rflnb"
1.17532799382419e-238,7.5886660398388,0.641,0.059,2.09890073137123e-234,"2","Chil3"
0,7.36191307534932,0.729,0.025,0,"2","Slpi"
0,7.36161436552442,0.441,0.005,0,"2","Ltb4r1"
5.21918415713726e-171,7.23850378240858,0.612,0.075,9.32041906781573e-167,"2","Mmp8"
0,6.69886695615345,0.371,0.004,0,"2","Sell"
0,6.34046861943732,0.335,0.01,0,"2","Glipr2"
0,6.28557541533876,0.824,0.017,0,"2","Ly6c2"
5.79127880188832e-208,6.22038714287844,0.347,0.018,1.03420656844122e-203,"2","Mgst2"
0,6.1180505564403,0.718,0.027,0,"2","Mcemp1"
1.45675833576856e-147,6.05689717802652,0.341,0.025,2.60147903601549e-143,"2","G0s2"
5.15691238892903e-188,5.56619290317539,0.835,0.141,9.20921414414946e-184,"2","Anxa1"
1.05529384789065e-298,5.55264366604916,0.594,0.038,1.88454375356312e-294,"2","Mxd1"
2.01433430921185e-249,5.52666066678517,0.653,0.057,3.59719820939052e-245,"2","Adpgk"
1.08439310711701e-225,5.44649591411994,0.312,0.013,1.93650921068956e-221,"2","Gpr141"
2.6610470598847e-146,5.31356390848862,0.529,0.063,4.75209783954209e-142,"2","Syne1"
4.70539313464136e-172,5.28558694597226,0.406,0.03,8.40289105984254e-168,"2","F630028O10Rik"
4.28559607078807e-183,5.17977172964277,0.353,0.021,7.65321746321334e-179,"2","Slc2a3"
5.22073731151264e-124,5.07912220277981,0.794,0.188,9.32319269089928e-120,"2","S100a6"
1.31468003231824e-157,4.99637313700516,0.588,0.073,2.34775560171391e-153,"2","Gda"
2.36269352748395e-167,4.81006697000075,0.988,0.261,4.21929810138084e-163,"2","S100a11"
5.06606308658719e-117,4.75982950644223,0.306,0.025,9.0469754600274e-113,"2","Gca"
1.62856805857937e-157,4.48462544445743,0.476,0.046,2.90829683901104e-153,"2","Plbd1"
1.93469023316997e-168,4.30824652792658,0.812,0.142,3.45496981839493e-164,"2","Gsr"
8.0598932792033e-169,4.26484404810862,0.553,0.058,1.43933574180013e-164,"2","Lbr"
3.40244179929256e-116,4.07609640652665,0.541,0.08,6.07608056517666e-112,"2","Cnn2"
2.43359009406261e-114,4.06268935873224,0.541,0.081,4.34590518997702e-110,"2","C3"
4.36330951991223e-107,3.97130548000453,0.588,0.104,7.79199814065927e-103,"2","Cd24a"
1.88579097074673e-65,3.96499218220747,0.447,0.09,3.3676455155595e-61,"2","AA467197"
4.69991910999486e-58,3.84013740413118,0.347,0.06,8.39311554662881e-54,"2","Dgat1"
1.57269204908182e-39,3.54103401680981,0.376,0.099,2.80851346125031e-35,"2","Tuba4a"
6.20747608187291e-69,3.53795076216216,0.571,0.146,1.10853107870086e-64,"2","Actn1"
1.00069609485208e-67,3.38404555298952,0.571,0.145,1.78704308618684e-63,"2","Pygl"
8.03001546927674e-70,3.37190768634649,0.353,0.052,1.43400016250344e-65,"2","Ceacam1"
7.61030973531457e-31,3.36524752633983,0.329,0.091,1.35904911253248e-26,"2","Msra"
2.86610126379335e-182,3.32743848835327,0.335,0.019,5.11828363688216e-178,"2","Plac8"
2.8229746312097e-28,3.29349841633165,0.406,0.138,5.04126809641428e-24,"2","Cxcl2"
2.25429034137075e-82,3.26226192866942,0.918,0.416,4.02571169161989e-78,"2","Hmgb2"
2.00209626753051e-37,3.26216763335862,0.359,0.091,3.57534351455598e-33,"2","Emb"
7.13140777698741e-39,3.25127592462635,0.512,0.184,1.27352680081441e-34,"2","Hmgn2"
1.91665587702696e-29,3.10299093320728,0.394,0.135,3.42276406519474e-25,"2","Lta4h"
1.08435054090835e-33,3.07963605864106,0.335,0.087,1.93643319595414e-29,"2","Rasgrp2"
1.270639512897e-64,2.93785441379294,0.588,0.153,2.26910804213146e-60,"2","Ccnd3"
1.74560358264597e-22,2.89160876687542,0.359,0.13,3.11729887788917e-18,"2","Plp2"
7.26290761397924e-35,2.87901343882209,0.335,0.083,1.29701004170441e-30,"2","Fam107b"
2.81391070978085e-34,2.85598316365277,0.335,0.084,5.02508174552664e-30,"2","Pbx1"
4.44837710002688e-43,2.8258268993895,0.541,0.182,7.94391182522801e-39,"2","Glrx"
3.18726322164382e-44,2.82395367615129,0.412,0.101,5.69181466121154e-40,"2","Ccr1"
3.06205540503562e-59,2.76275090554712,0.7,0.24,5.46821854231262e-55,"2","Mgst1"
5.82832482739615e-52,2.75219315306097,0.782,0.409,1.0408222476764e-47,"2","Cybb"
5.51694064218652e-31,2.74798463412604,0.412,0.134,9.85215259881669e-27,"2","Pnkp"
1.69218160409067e-32,2.73346227816035,0.353,0.096,3.02189790858512e-28,"2","Rinl"
5.493630107982e-36,2.70822811415801,0.5,0.176,9.81052464683426e-32,"2","Pirb"
9.10895299402218e-32,2.70292415919956,0.512,0.199,1.62667682567248e-27,"2","Tmcc1"
2.40361812149422e-51,2.6904159513656,0.571,0.175,4.29238124136437e-47,"2","Sorl1"
1.13672711550807e-25,2.64098451380428,0.312,0.09,2.02996728287431e-21,"2","Arhgap15"
2.23115218201546e-56,2.63470291987687,0.565,0.157,3.98439156664321e-52,"2","Clec4a2"
1.24713135581152e-32,2.62191429059463,0.376,0.108,2.22712717520821e-28,"2","Igf1r"
2.2604202983686e-33,2.61040945707518,0.559,0.248,4.03665856882665e-29,"2","Ckap4"
1.05967956118278e-18,2.50829605983596,0.341,0.131,1.8923757603602e-14,"2","Svil"
2.5417897717258e-33,2.49564267021648,0.435,0.139,4.53912817434794e-29,"2","Acsl1"
8.68107900896421e-39,2.4891611261158,0.582,0.228,1.55026708942083e-34,"2","Lmo4"
5.44567442866897e-74,2.48700452334252,0.959,0.751,9.72488539471705e-70,"2","Arhgdib"
3.25608383912486e-56,2.48427315788167,0.712,0.277,5.81471451990918e-52,"2","Flna"
8.48921892764145e-29,2.4725157513792,0.535,0.236,1.51600471609821e-24,"2","Cd44"
8.37894485569043e-26,2.4380827271243,0.471,0.203,1.4963119723292e-21,"2","Mettl9"
1.03710104114789e-28,2.42520539891577,0.524,0.218,1.8520550392819e-24,"2","Stk17b"
1.5181728083261e-45,2.42422876764448,0.729,0.318,2.71115300110876e-41,"2","Ifitm2"
7.90222855293892e-57,2.40126667849851,0.847,0.482,1.41117997498383e-52,"2","Rac2"
7.01309017918035e-27,2.40094474756519,0.471,0.193,1.25239764419803e-22,"2","Clec12a"
7.16474796357896e-21,2.34079387549777,0.341,0.123,1.27948069133593e-16,"2","Agpat2"
3.25541768255803e-48,2.33671672091697,0.794,0.451,5.81352489751213e-44,"2","Tkt"
1.74064587176873e-34,2.33437284390681,0.624,0.28,3.10844539780459e-30,"2","Dhrs7"
1.20543970227088e-18,2.32178130204484,0.306,0.108,2.15267422031533e-14,"2","Golim4"
5.06427542322689e-29,2.29335433386249,0.5,0.202,9.04378305079857e-25,"2","R3hdm4"
3.05737323075715e-34,2.2716485470315,0.571,0.239,5.45985711548611e-30,"2","Ncf4"
1.09443240196413e-35,2.26569926201948,0.588,0.248,1.95443738342754e-31,"2","Zyx"
1.71606391796948e-19,2.26493355668261,0.488,0.248,3.06454694470989e-15,"2","Lilr4b"
1.47724705037882e-10,2.26349241648371,0.318,0.161,2.6380677825665e-06,"2","Clec4d"
3.86340088126604e-50,2.21771682990178,0.824,0.403,6.8992612937649e-46,"2","Gmfg"
8.83352312585189e-33,2.18468994833626,0.635,0.3,1.57749055981463e-28,"2","Vasp"
6.44008639141991e-13,2.15460042885105,0.318,0.145,1.15007062777977e-08,"2","Ezr"
2.9816284707962e-16,2.14623741915828,0.312,0.122,5.32459212314785e-12,"2","Cdc42ep3"
2.23688736307762e-11,2.13830275508826,0.329,0.164,3.99463345298401e-07,"2","Cxcr4"
2.30917551443825e-15,2.13420746061422,0.306,0.12,4.12372563368382e-11,"2","Cdkn2d"
1.20419449526215e-22,2.12587711769438,0.535,0.258,2.15045052963915e-18,"2","Cdk2ap2"
1.06112747841575e-13,2.11513810341632,0.341,0.158,1.89496145095485e-09,"2","Nin"
7.3437924592998e-18,2.05873281400985,0.341,0.133,1.31145445738176e-13,"2","Cks2"
1.41116534818605e-14,2.04495225656251,0.312,0.128,2.52005907879065e-10,"2","Pilra"
1.46017676056346e-61,2.02294748673694,0.965,0.72,2.60758365901422e-57,"2","Prdx5"
5.21920450602075e-11,2.00879427186554,0.365,0.197,9.32045540685185e-07,"2","Xdh"
9.14974581749296e-21,2.0015582360533,0.565,0.306,1.63396160808789e-16,"2","Cpne3"
8.22293867628002e-40,2.00083190577224,0.806,0.551,1.46845238881009e-35,"2","Dstn"
2.45585406715585e-51,1.95503550787265,0.865,0.425,4.38566419312691e-47,"2","Msrb1"
2.05696511660542e-15,1.95036240630376,0.418,0.211,3.67332830523395e-11,"2","Ppp2r5a"
9.68385887702375e-10,1.93294847885252,0.306,0.152,1.7293435182589e-05,"2","Mfsd14b"
1.65214660259449e-13,1.91705816419013,0.547,0.359,2.95040340291325e-09,"2","Prr13"
8.12721063444533e-40,1.8928100223873,0.582,0.194,1.45135727509925e-35,"2","Cebpd"
2.01155690155495e-17,1.85449014497652,0.482,0.254,3.59223831479683e-13,"2","Gsn"
8.87497572865944e-19,1.83169671454846,0.382,0.154,1.584893165624e-14,"2","Atp11b"
1.04485419224474e-09,1.8006227684068,0.371,0.211,1.86590061651065e-05,"2","Cyb5r4"
3.05795577968073e-11,1.78720415288674,0.341,0.17,5.46089743135384e-07,"2","Sp100"
2.23358428795543e-50,1.7763741610196,0.912,0.596,3.98873482143081e-46,"2","Taldo1"
8.55894110983899e-30,1.76962829901489,0.735,0.437,1.52845570339505e-25,"2","Aldh2"
4.37226406404935e-17,1.76205236412637,0.582,0.35,7.80798916557933e-13,"2","Degs1"
1.93430906234208e-13,1.72876479765058,0.447,0.24,3.45428912353048e-09,"2","Ccpg1"
5.92937092197604e-17,1.70901471223082,0.488,0.253,1.05886705924648e-12,"2","Nudt4"
1.39070546671679e-08,1.70240492763988,0.376,0.234,0.000248352182246284,"2","Rab6a"
4.94689020744646e-10,1.67501207120451,0.388,0.219,8.83415653245788e-06,"2","Fgd4"
2.82732195351964e-13,1.67004957976831,0.465,0.265,5.04903154459537e-09,"2","Hipk1"
3.42361124161454e-56,1.65773312342695,0.965,0.598,6.11388495527525e-52,"2","Txn1"
9.8610423486317e-39,1.64369835799161,0.912,0.62,1.76098494261865e-34,"2","Alox5ap"
3.3755028579386e-11,1.62395661008363,0.459,0.293,6.02797300370675e-07,"2","Lyst"
5.71924083116428e-07,1.60560199281454,0.3,0.175,0.0102134202762932,"2","Mxi1"
1.02182031624758e-32,1.59828830031971,0.865,0.606,1.82476672075492e-28,"2","Ncf1"
