"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.26539933979452,0.407,0.035,0,"1","Atp6v0d2"
0,3.86565785716781,0.959,0.443,0,"1","Gpnmb"
5.99252572201935e-298,3.42424614259576,0.424,0.054,9.17635463812823e-294,"1","Fabp4"
3.29646480732908e-185,3.32349931280843,0.302,0.046,5.04787655946302e-181,"1","Cdo1"
4.89928726745541e-282,3.29997514191312,0.406,0.052,7.50227859265447e-278,"1","Hpse"
0,2.9911988948359,0.958,0.662,0,"1","Fabp5"
5.62653590509832e-165,2.81367944512416,0.309,0.059,8.61591443147706e-161,"1","Il18bp"
0,2.75185798412722,0.591,0.097,0,"1","Acp5"
2.94692682227531e-232,2.73184576678187,0.371,0.054,4.51262904295018e-228,"1","Emp1"
0,2.49827763291601,0.954,0.308,0,"1","Ms4a7"
1.07151891691451e-240,2.47959219266997,0.428,0.08,1.64081691747119e-236,"1","Aph1c"
0,2.42274942349144,0.584,0.136,0,"1","Myof"
0,2.41248487935185,0.995,0.668,0,"1","Lyz2"
2.9933438920358e-289,2.372738526664,0.453,0.067,4.58370750187442e-285,"1","F13a1"
0,2.30774681414509,0.69,0.153,0,"1","Pla2g7"
0,2.22508496337926,0.943,0.566,0,"1","Lgals3"
0,2.20843268806611,0.584,0.135,0,"1","Tnfaip2"
3.68160330285872e-158,2.11372506961647,0.37,0.095,5.63763913766756e-154,"1","Cd200r4"
1.11674494449534e-265,2.04368946772643,0.531,0.124,1.71007153350572e-261,"1","Mgst1"
2.22189980815488e-213,1.9911374767315,0.514,0.153,3.40239517622757e-209,"1","Gpx3"
2.35346462351765e-151,1.98638790729684,0.414,0.131,3.60386037799258e-147,"1","Rilpl2"
2.59208529700369e-161,1.91422722620939,0.344,0.076,3.96926021530176e-157,"1","Clec4d"
0,1.90989151072796,0.939,0.581,0,"1","Wfdc17"
2.56614090527469e-170,1.90919096998576,0.397,0.102,3.92953156824713e-166,"1","Cd300lf"
8.25771682052304e-171,1.84672746985672,0.372,0.084,1.26450417672669e-166,"1","Cd38"
6.80811866634244e-128,1.8320596611846,0.319,0.083,1.04252721137702e-123,"1","Mmp14"
